	I_D	TSEVENT_ID	YEAR_x	MONTH_x	DAY_x	DOUBTFUL	COUNTRY_x	STATE_x	LOCATION_NAME_x	LATITUDE_x	LONGITUDE_x	REGION_CODE_x	DISTANCE_FROM_SOURCE	TRAVEL_TIME_HOURS	TRAVEL_TIME_MINUTES	WATER_HT	HORIZONTAL_INUNDATION	TYPE_MEASUREMENT_ID	PERIOD	FIRST_MOTION	DEATHS_x	DEATHS_DESCRIPTION_x	INJURIES_x	INJURIES_DESCRIPTION_x	DAMAGE_MILLIONS_DOLLARS_x	DAMAGE_DESCRIPTION_x	HOUSES_DAMAGED_x	HOUSES_DAMAGED_DESCRIPTION_x	HOUSES_DESTROYED_x	HOUSES_DESTROYED_DESCRIPTION_x	COORDS	ID	YEAR_y	MONTH_y	DAY_y	HOUR	MINUTE	SECOND	VENT_VALIDITY	CAUSE_CODE	FOCAL_DEPTH	PRIMARY_MAGNITUDE	COUNTRY_y	STATE_y	LOCATION_NAME_y	LATITUDE_y	LONGITUDE_y	REGION_CODE_y	MAXIMUM_WATER_HEIGHT	ABE	IIDA	SOLOVIEV	WARNING_STATUS	DEATHS_y	DEATHS_DESCRIPTION_y	MISSING	MISSING_DESCRIPTION	INJURIES_y	INJURIES_DESCRIPTION_y	DAMAGE_MILLIONS_DOLLARS_y	DAMAGE_DESCRIPTION_y	HOUSES_DESTROYED_y	HOUSES_DESTROYED_DESCRIPTION_y	HOUSES_DAMAGED_y	HOUSES_DAMAGED_DESCRIPTION_y	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
84	28210	291.0	1662.0	10.0	30.0		JAPAN	SHIZUOKA	IZU PENINSULA, HONSHU	34.8	139.0	85.0	737.0					1.0													(34.799999999999997, 139.0)	171	1545	2.0	7.0				2.0	1.0			JAPAN		IZU PENINSULA	34.8	139.0	85																													
85	286	377.0	1707.0	10.0	28.0		JAPAN	SHIZUOKA	IZU PENINSULA, HONSHU	34.8	139.0	85.0	426.0					1.0			11.0	1.0				3.0			1168.0	4.0	(34.799999999999997, 139.0)	171	1545	2.0	7.0				2.0	1.0			JAPAN		IZU PENINSULA	34.8	139.0	85																													
86	331	427.0	1747.0	3.0			JAPAN	SHIZUOKA	IZU PENINSULA	34.8	139.0	85.0	203.0					1.0								1.0					(34.799999999999997, 139.0)	171	1545	2.0	7.0				2.0	1.0			JAPAN		IZU PENINSULA	34.8	139.0	85																													
87	19495	515.0	1775.0	10.0			JAPAN	SHIZUOKA	IZU PENINSULA, HONSHU	34.8	139.0	85.0						1.0				3.0				2.0				2.0	(34.799999999999997, 139.0)	171	1545	2.0	7.0				2.0	1.0			JAPAN		IZU PENINSULA	34.8	139.0	85																													
88	16474	1756.0	1944.0	12.0	7.0		JAPAN	SHIZUOKA	IZU PENINSULA, HONSHU	34.8	139.0	85.0	196.0					1.0													(34.799999999999997, 139.0)	171	1545	2.0	7.0				2.0	1.0			JAPAN		IZU PENINSULA	34.8	139.0	85																													
89	19455	176.0	1562.0	7.0	25.0		JAPAN		HIGO	32.5	130.6	85.0	0.0					1.0													(32.5, 130.59999999999999)	176	1562	7.0	25.0				1.0	0.0			JAPAN		W. KYUSHU ISLAND	32.5	130.6	85																													
90	19455	176.0	1562.0	7.0	25.0		JAPAN		HIGO	32.5	130.6	85.0	0.0					1.0													(32.5, 130.59999999999999)	235	1619	5.0	1.0				4.0	1.0		6.4	JAPAN		YATSUSHIRO, JAPAN	32.5	130.6	85													1.0												1.0				
91	10414	209.0	1603.0				JAPAN	MIE	KUMANONADA SEA	33.7	136.5	85.0				2.0		1.0													(33.700000000000003, 136.5)	128	1403	12.0					4.0	1.0		7.0	JAPAN		KUMANONADA	33.7	136.5	85	2.0		1.0	1.0																									
92	2571	1756.0	1944.0	12.0	7.0		JAPAN	MIE	KUMANONADA COAST	33.7	136.5	85.0	65.0			10.0		1.0													(33.700000000000003, 136.5)	128	1403	12.0					4.0	1.0		7.0	JAPAN		KUMANONADA	33.7	136.5	85	2.0		1.0	1.0																									
93	145	2328.0	1612.0	11.0	8.0		GREECE		ISLAND OF CRETE	35.5	25.5	50.0	0.0					1.0													(35.5, 25.5)	3119	1494	7.0	1.0				3.0	1.0		7.2	GREECE		ISLAND OF CRETE	35.5	25.5	50				2.0									1.0												2.0		2.0		
94	145	2328.0	1612.0	11.0	8.0		GREECE		ISLAND OF CRETE	35.5	25.5	50.0	0.0					1.0													(35.5, 25.5)	3124	1601						2.0	1.0			GREECE		ISLAND OF CRETE	35.5	25.5	50																													
95	145	2328.0	1612.0	11.0	8.0		GREECE		ISLAND OF CRETE	35.5	25.5	50.0	0.0					1.0													(35.5, 25.5)	210	1604						1.0	1.0			GREECE		CRETE	35.5	25.5	50																													
96	145	2328.0	1612.0	11.0	8.0		GREECE		ISLAND OF CRETE	35.5	25.5	50.0	0.0					1.0													(35.5, 25.5)	2328	1612	11.0	8.0				4.0	1.0		6.7	GREECE		ISLAND OF CRETE	35.5	25.5	50				4.0																									
97	190	295.0	1667.0				JAPAN	OKINAWA	SUKAMA	25.0	125.5	85.0	0.0					1.0													(25.0, 125.5)	295	1667						4.0	1.0		6.7	JAPAN		MIYAKOJIMA, JAPAN	25.0	125.5	85			1.0	1.0																									
98	6951	2440.0	1668.0	4.0	13.0		USA	MA	BOSTON, MA	42.35	-71.05	75.0	0.0					7.0													(42.350000000000001, -71.049999999999997)	2440	1668	4.0	13.0				0.0	1.0			USA	MA	BOSTON AND SALEM, MASSACHUSETTS	42.35	-71.05	75																													
99	28212	305.0	1670.0	9.0			JAPAN		OSAKA BAY	34.6	135.4	85.0						1.0													(34.600000000000001, 135.40000000000001)	154	1510	9.0	21.0				4.0	1.0		6.7	JAPAN		OSAKA BAY	34.6	135.4	85	2.0		1.0	1.0									1.0												1.0				
100	197	309.0	1672.0	4.0			GREECE		ISLAND OF TENEDOS	40.0	26.0	50.0	0.0					1.0													(40.0, 26.0)	309	1672	4.0					1.0	1.0		6.5	GREECE		ISLAND OF TENEDOS	40.0	26.0	50																													
101	197	309.0	1672.0	4.0			GREECE		ISLAND OF TENEDOS	40.0	26.0	50.0	0.0					1.0													(40.0, 26.0)	3381	1859	8.0	21.0	11.0	55.0		3.0	1.0		6.8	TURKEY		IMROZ - AEGEAN SEA	40.0	26.0	50				3.0																									
102	259	367.0	1703.0	12.0	30.0		JAPAN	TOKYO	TOKYO BAY	35.65	139.8	85.0	106.0			8.0		1.0													(35.649999999999999, 139.80000000000001)	851	1855	11.0	11.0				4.0	1.0		7.0	JAPAN		TOKAIDO	35.65	139.8	85																		6757.0	4.0						4.0	50000.0	4.0		
103	16393	835.0	1854.0	12.0	23.0		JAPAN	TOKYO	TOKYO BAY	35.65	139.8	85.0	253.0			3.0		1.0								1.0					(35.649999999999999, 139.80000000000001)	851	1855	11.0	11.0				4.0	1.0		7.0	JAPAN		TOKAIDO	35.65	139.8	85																		6757.0	4.0						4.0	50000.0	4.0		
104	10468	851.0	1855.0	11.0	11.0		JAPAN	TOKYO	TOKYO BAY	35.65	139.8	85.0	0.0			0.0		1.0													(35.649999999999999, 139.80000000000001)	851	1855	11.0	11.0				4.0	1.0		7.0	JAPAN		TOKAIDO	35.65	139.8	85																		6757.0	4.0						4.0	50000.0	4.0		
105	1214	1075.0	1877.0	5.0	10.0		JAPAN	TOKYO	TOKYO BAY	35.65	139.8	85.0	16688.0			0.7		1.0													(35.649999999999999, 139.80000000000001)	851	1855	11.0	11.0				4.0	1.0		7.0	JAPAN		TOKAIDO	35.65	139.8	85																		6757.0	4.0						4.0	50000.0	4.0		
106	2023	1526.0	1923.0	9.0	1.0		JAPAN	TOKYO	TOKYO BAY	35.65	139.8	85.0	67.0			1.5		1.0													(35.649999999999999, 139.80000000000001)	851	1855	11.0	11.0				4.0	1.0		7.0	JAPAN		TOKAIDO	35.65	139.8	85																		6757.0	4.0						4.0	50000.0	4.0		
107	17514	3351.0	1714.0	8.0	4.0		MYANMAR (BURMA)		AVA (INNWA)	21.85	95.96700000000001	60.0	0.0					1.0													(21.850000000000001, 95.967000000000013)	3351	1714	8.0	4.0				0.0	1.0			MYANMAR (BURMA)		AVA (INNWA)	21.85	95.96700000000001	60																													
108	28230	5502.0	1716.0			?	JAPAN	TOKYO	OSHIMA ISLAND	34.73	139.4	85.0	0.0					1.0													(34.729999999999997, 139.40000000000001)	5502	1716						-1.0	0.0			JAPAN		OSHIMA ISLAND	34.73	139.4	85																													
109	17515	392.0	1722.0	10.0			INDONESIA	JAKARTA	JAKARTA	-6.1739999999999995	106.829	60.0	0.0					1.0													(-6.1739999999999995, 106.82899999999999)	392	1722	10.0					1.0	1.0			INDONESIA		DJAKARTA (JAKARTA), JAVA	-6.1739999999999995	106.829	60				0.0																									
110	11183	465.0	1757.0	8.0	24.0		INDONESIA	JAKARTA	JAKARTA	-6.1739999999999995	106.829	60.0	27.0			0.5		1.0													(-6.1739999999999995, 106.82899999999999)	392	1722	10.0					1.0	1.0			INDONESIA		DJAKARTA (JAKARTA), JAVA	-6.1739999999999995	106.829	60				0.0																									
111	11002	405.0	1732.0	11.0			GREECE		ISLAND OF KERKYRA	39.5	20.0	50.0	0.0					1.0													(39.5, 20.0)	405	1732	11.0					2.0	1.0			GREECE		ISLAND OF KERKYRA (CORFU)	39.5	20.0	50				2.0																									
112	11002	405.0	1732.0	11.0			GREECE		ISLAND OF KERKYRA	39.5	20.0	50.0	0.0					1.0													(39.5, 20.0)	1139	1883	6.0	27.0				2.0	1.0			GREECE		IONIAN ISLANDS	39.5	20.0	50				3.0																									
113	29956	422.0	1744.0				PHILIPPINES		NORTHERN LUZON ISLAND	18.230999999999998	120.86	84.0	138.0					1.0													(18.230999999999998, 120.86)	2148	1983	8.0	17.0	12.0	17.0	56.0	4.0	1.0	29.0	6.6	PHILIPPINES		LUZON ISLAND	18.230999999999998	120.86	84	0.1																	16.0	1.0			47.0	1.0		2.0		3.0		
114	25293	449.0	1754.0	8.0	18.0		INDONESIA	MALUKU	HUTUMURI, AMBON ISLAND	-3.7	128.2	83.0	40.0					1.0													(-3.7000000000000002, 128.19999999999999)	316	1674	5.0	6.0				3.0	1.0		6.0	INDONESIA		BANDA SEA	-3.7	128.2	83			1.0	0.0																									
115	25293	449.0	1754.0	8.0	18.0		INDONESIA	MALUKU	HUTUMURI, AMBON ISLAND	-3.7	128.2	83.0	40.0					1.0													(-3.7000000000000002, 128.19999999999999)	513	1775	4.0	18.0				3.0	1.0			INDONESIA		AMBON ISLAND	-3.7	128.2	83				0.0																					1.0				
116	25293	449.0	1754.0	8.0	18.0		INDONESIA	MALUKU	HUTUMURI, AMBON ISLAND	-3.7	128.2	83.0	40.0					1.0													(-3.7000000000000002, 128.19999999999999)	586	1802	8.0					2.0	1.0			INDONESIA		BANDA SEA	-3.7	128.2	83			1.0	1.5									2.0												2.0				
117	25293	449.0	1754.0	8.0	18.0		INDONESIA	MALUKU	HUTUMURI, AMBON ISLAND	-3.7	128.2	83.0	40.0					1.0													(-3.7000000000000002, 128.19999999999999)	796	1852	11.0	19.0				1.0	1.0			INDONESIA		AMBON ISLAND, BANDA SEA	-3.7	128.2	83				0.0																									
118	25293	449.0	1754.0	8.0	18.0		INDONESIA	MALUKU	HUTUMURI, AMBON ISLAND	-3.7	128.2	83.0	40.0					1.0													(-3.7000000000000002, 128.19999999999999)	906	1861	3.0					2.0	0.0			INDONESIA		BANDA SEA	-3.7	128.2	83	1.8			1.0									1.0												1.0				
119	25293	449.0	1754.0	8.0	18.0		INDONESIA	MALUKU	HUTUMURI, AMBON ISLAND	-3.7	128.2	83.0	40.0					1.0													(-3.7000000000000002, 128.19999999999999)	1421	1914	12.0	3.0				2.0	0.0			INDONESIA		AMBON ISLAND	-3.7	128.2	83				0.0																									
120	8039	2441.0	1755.0	10.0	4.0		USA	NY	LAKE ONTARIO, NY	43.5	-78.0	75.0	0.0			1.52		7.0													(43.5, -78.0)	2441	1755	10.0	4.0				0.0	0.0			USA	NY	LAKE ONTARIO	43.5	-78.0	75	1.52																												
121	366	456.0	1755.0	11.0	1.0		UK		MOUNT'S BAY, ENGLAND	50.033	-5.417000000000001	73.0	1495.0			1.82		1.0													(50.033000000000001, -5.4170000000000007)	469	1761	7.0	28.0				-1.0	9.0			UK		MOUNT'S BAY, ENGLAND	50.033	-5.417000000000001	73																													
122	387	468.0	1761.0	3.0	31.0		UK		MOUNT'S BAY, ENGLAND	50.033	-5.417000000000001	73.0	1835.0			1.8		1.0		R											(50.033000000000001, -5.4170000000000007)	469	1761	7.0	28.0				-1.0	9.0			UK		MOUNT'S BAY, ENGLAND	50.033	-5.417000000000001	73																													
123	382	457.0	1755.0	11.0	5.0		UK		SALTHOLME, ENGLAND	54.68	-1.21	73.0	0.0			0.9		1.0													(54.68, -1.21)	457	1755	11.0	5.0				1.0	0.0			UK		RIVER TEES, ENGLAND	54.68	-1.21	73	0.9																												
124	9112	462.0	1757.0	7.0	7.0		AZORES (PORTUGAL)		SAO JORGE	38.65	-28.08	73.0	0.0					1.0													(38.649999999999999, -28.079999999999998)	462	1757	7.0	9.0	23.0	45.0		2.0	1.0			PORTUGAL		AZORES	38.65	-28.08	73																		1053.0	4.0						3.0		4.0		
125	393	473.0	1762.0	9.0	27.0		UK		THAMES, ENGLAND	51.5	0.1	73.0	0.0			3.0		1.0													(51.5, 0.10000000000000001)	473	1762	9.0	27.0				1.0	0.0			UK		THE THAMES, ENGLAND	51.5	0.1	73	3.0		1.6																										
126	419	494.0	1767.0	11.0	22.0		CHINA		MACAU	22.2	113.55	84.0	0.0					1.0													(22.199999999999999, 113.55)	494	1767	11.0	22.0				2.0	1.0			CHINA		SOUTH CHINA SEA	22.2	113.55	84				2.0																									
127	10091	2932.0	1767.0				USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	2932	1767						1.0	0.0			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81																													
128	10091	2932.0	1767.0				USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	2933	1809						1.0	1.0			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81																													
129	10091	2932.0	1767.0				USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	2934	1825	4.0					2.0	1.0			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81																									2.0		3.0		
130	10091	2932.0	1767.0				USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	763	1849	1.0	25.0	5.0	10.0		3.0	1.0		7.5	USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81	6.1		1.0	2.0			3.0	1.0	1.0				2.0						3.0				2.0		3.0		3.0		
131	10091	2932.0	1767.0				USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	1195	1892	5.0	16.0	11.0	10.0		4.0	1.0		7.5	USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81				0.5																					2.0		1.0		
132	10091	2932.0	1767.0				USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	2772	1903	2.0	10.0	2.0	28.0		1.0	1.0			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81	0.15			2.0																					1.0				1.0
133	10092	2933.0	1809.0				USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	2932	1767						1.0	0.0			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81																													
134	10092	2933.0	1809.0				USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	2933	1809						1.0	1.0			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81																													
135	10092	2933.0	1809.0				USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	2934	1825	4.0					2.0	1.0			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81																									2.0		3.0		
136	10092	2933.0	1809.0				USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	763	1849	1.0	25.0	5.0	10.0		3.0	1.0		7.5	USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81	6.1		1.0	2.0			3.0	1.0	1.0				2.0						3.0				2.0		3.0		3.0		
137	10092	2933.0	1809.0				USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	1195	1892	5.0	16.0	11.0	10.0		4.0	1.0		7.5	USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81				0.5																					2.0		1.0		
138	10092	2933.0	1809.0				USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	2772	1903	2.0	10.0	2.0	28.0		1.0	1.0			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81	0.15			2.0																					1.0				1.0
139	10093	2934.0	1825.0	4.0			USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	2932	1767						1.0	0.0			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81																													
140	10093	2934.0	1825.0	4.0			USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	2933	1809						1.0	1.0			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81																													
141	10093	2934.0	1825.0	4.0			USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	2934	1825	4.0					2.0	1.0			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81																									2.0		3.0		
142	10093	2934.0	1825.0	4.0			USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	763	1849	1.0	25.0	5.0	10.0		3.0	1.0		7.5	USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81	6.1		1.0	2.0			3.0	1.0	1.0				2.0						3.0				2.0		3.0		3.0		
143	10093	2934.0	1825.0	4.0			USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	1195	1892	5.0	16.0	11.0	10.0		4.0	1.0		7.5	USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81				0.5																					2.0		1.0		
144	10093	2934.0	1825.0	4.0			USA TERRITORY	GU	GUAM, MARIANA  ISLANDS	14.0	143.3	81.0	0.0					1.0													(14.0, 143.30000000000001)	2772	1903	2.0	10.0	2.0	28.0		1.0	1.0			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14.0	143.3	81	0.15			2.0																					1.0				1.0
145	7760	2768.0	1775.0	2.0	11.0	?	HAITI		HAITI: UNKNOWN LOCATION	19.0	-72.4	74.0	391.0					1.0													(19.0, -72.400000000000006)	517	1775	12.0	18.0				2.0	1.0			HAITI		HAITI & DOMINICAN REPUBLIC	19.0	-72.4	74													3.0												3.0				
146	6685	2389.0	1775.0	3.0			HAITI		HAITI	19.0	-72.4	74.0	11.0					1.0								2.0					(19.0, -72.400000000000006)	517	1775	12.0	18.0				2.0	1.0			HAITI		HAITI & DOMINICAN REPUBLIC	19.0	-72.4	74													3.0												3.0				
147	445	517.0	1775.0	12.0	18.0		HAITI		HAITI	19.0	-72.4	74.0	0.0					1.0								3.0					(19.0, -72.400000000000006)	517	1775	12.0	18.0				2.0	1.0			HAITI		HAITI & DOMINICAN REPUBLIC	19.0	-72.4	74													3.0												3.0				
148	454	530.0	1781.0	8.0	1.0		JAMAICA		UNKNOWN LOCATION	18.1	-77.3	74.0	0.0					1.0								2.0					(18.100000000000001, -77.299999999999997)	530	1781	8.0	1.0				1.0	2.0			JAMAICA		JAMAICA: UNKNOWN LOCATION	18.1	-77.3	74													2.0																
149	16249	3208.0	1783.0	2.0	5.0		ITALY		CAPO RIZZUTO	38.9	17.1	50.0	0.0					1.0													(38.899999999999999, 17.100000000000001)	3208	1783	2.0	5.0	8.0	0.0		2.0	1.0			ITALY		TYRRHENIAN CALABRIA	38.9	17.1	50				3.0																									
150	16232	2769.0	1783.0	2.0	5.0		ITALY	CALABRIA	ROCCELLA IONICA	38.317	16.4	50.0	38.0					1.0													(38.317, 16.399999999999999)	3212	1784	1.0	7.0				4.0	1.0		4.1	ITALY		IONIAN CALABRIA	38.317	16.4	50				5.0									1.0		3.0										1.0		3.0		
151	11125	3212.0	1784.0	1.0	7.0		ITALY	CALABRIA	ROCCELLA IONICA	38.317	16.4	50.0	0.0					1.0								2.0				3.0	(38.317, 16.399999999999999)	3212	1784	1.0	7.0				4.0	1.0		4.1	ITALY		IONIAN CALABRIA	38.317	16.4	50				5.0									1.0		3.0										1.0		3.0		
152	16288	1373.0	1908.0	12.0	28.0		ITALY	CALABRIA	ROCCELLA IONICA	38.317	16.4	50.0	73.0			7.0	25.0	1.0		F											(38.317, 16.399999999999999)	3212	1784	1.0	7.0				4.0	1.0		4.1	ITALY		IONIAN CALABRIA	38.317	16.4	50				5.0									1.0		3.0										1.0		3.0		
153	16226	2769.0	1783.0	2.0	5.0		ITALY	CALABRIA	SCILLA	38.25	15.717	50.0	23.0					1.0													(38.25, 15.717000000000001)	3690	1783	3.0	24.0	12.0			4.0	8.0			ITALY		MESSINA STRAITS	38.25	15.717	50						1.0	1.0											1.0	1.0										
154	16233	3209.0	1783.0	2.0	6.0		ITALY	CALABRIA	SCILLA	38.25	15.717	50.0	8.0				380.0	1.0			1500.0	4.0				1.0	26.0	1.0	26.0	1.0	(38.25, 15.717000000000001)	3690	1783	3.0	24.0	12.0			4.0	8.0			ITALY		MESSINA STRAITS	38.25	15.717	50						1.0	1.0											1.0	1.0										
155	16244	3690.0	1783.0	3.0	24.0		ITALY		CAMPALLA	38.25	15.717	50.0	0.0					1.0			1.0	1.0									(38.25, 15.717000000000001)	3690	1783	3.0	24.0	12.0			4.0	8.0			ITALY		MESSINA STRAITS	38.25	15.717	50						1.0	1.0											1.0	1.0										
156	11126	3213.0	1784.0	1.0	19.0		ITALY	CALABRIA	SCILLA	38.25	15.717	50.0	12.0					1.0								1.0					(38.25, 15.717000000000001)	3690	1783	3.0	24.0	12.0			4.0	8.0			ITALY		MESSINA STRAITS	38.25	15.717	50						1.0	1.0											1.0	1.0										
157	16283	1373.0	1908.0	12.0	28.0		ITALY	CALABRIA	SCILLA	38.25	15.717	50.0	15.0			1.0		1.0		F											(38.25, 15.717000000000001)	3690	1783	3.0	24.0	12.0			4.0	8.0			ITALY		MESSINA STRAITS	38.25	15.717	50						1.0	1.0											1.0	1.0										
158	25828	567.0	1792.0	5.0	21.0		NETHERLANDS		SANDVORT	52.37	4.53	73.0	0.0					1.0													(52.369999999999997, 4.5300000000000002)	567	1792	5.0	21.0				1.0	0.0			HOLLAND		NORTH SEA	52.37	4.53	73																													
159	9806	575.0	1796.0	5.0	29.0	?	USA	AK	BOGOSLOF ISLAND, AK	54.0	-167.0	87.0	0.0					1.0													(54.0, -167.0)	575	1796	5.0	29.0				1.0	6.0			USA	AK	BOGOSLOF ISLAND, AK	54.0	-167.0	87																													
160	9806	575.0	1796.0	5.0	29.0	?	USA	AK	BOGOSLOF ISLAND, AK	54.0	-167.0	87.0	0.0					1.0													(54.0, -167.0)	938	1865	7.0	16.0	3.0	0.0	0.0	1.0	1.0			USA	AK	UNALASKA ISLAND, AK	54.0	-167.0	87													1.0		1.0														
161	9806	575.0	1796.0	5.0	29.0	?	USA	AK	BOGOSLOF ISLAND, AK	54.0	-167.0	87.0	0.0					1.0													(54.0, -167.0)	1109	1878	8.0	29.0				1.0	4.0			USA	AK	UNALASKA ISLAND, AK	54.0	-167.0	87			1.0	1.5																									
162	9807	938.0	1865.0	7.0	16.0	?	USA	AK	UNALASKA, AK	54.0	-167.0	87.0	0.0					1.0													(54.0, -167.0)	575	1796	5.0	29.0				1.0	6.0			USA	AK	BOGOSLOF ISLAND, AK	54.0	-167.0	87																													
163	9807	938.0	1865.0	7.0	16.0	?	USA	AK	UNALASKA, AK	54.0	-167.0	87.0	0.0					1.0													(54.0, -167.0)	938	1865	7.0	16.0	3.0	0.0	0.0	1.0	1.0			USA	AK	UNALASKA ISLAND, AK	54.0	-167.0	87													1.0		1.0														
164	9807	938.0	1865.0	7.0	16.0	?	USA	AK	UNALASKA, AK	54.0	-167.0	87.0	0.0					1.0													(54.0, -167.0)	1109	1878	8.0	29.0				1.0	4.0			USA	AK	UNALASKA ISLAND, AK	54.0	-167.0	87			1.0	1.5																									
165	11139	3219.0	1808.0	4.0	2.0		FRANCE		MARSEILLES	43.3	5.3660000000000005	50.0	227.0			0.15		1.0													(43.299999999999997, 5.3660000000000005)	3538	1812	6.0	23.0				2.0	2.0			FRANCE		MARSEILLES	43.3	5.3660000000000005	50																													
166	15664	3538.0	1812.0	6.0	23.0		FRANCE		MARSEILLES	43.3	5.3660000000000005	50.0	0.0					1.0													(43.299999999999997, 5.3660000000000005)	3538	1812	6.0	23.0				2.0	2.0			FRANCE		MARSEILLES	43.3	5.3660000000000005	50																													
167	11378	3324.0	1846.0	12.0	3.0		FRANCE		MARSEILLES	43.3	5.3660000000000005	50.0	432.0					1.0													(43.299999999999997, 5.3660000000000005)	3538	1812	6.0	23.0				2.0	2.0			FRANCE		MARSEILLES	43.3	5.3660000000000005	50																													
168	16106	602.0	1809.0	12.0	4.0		SOUTH AFRICA		TABLE BAY	-33.88	18.45	70.0	0.0					1.0													(-33.880000000000003, 18.449999999999999)	602	1809	12.0	4.0				1.0	1.0			SOUTH AFRICA		CAPE OF GOOD HOPE	-33.88	18.45	77																													
169	10449	603.0	1810.0	9.0	25.0		JAPAN	AKITA	OGA	39.9	139.9	85.0	0.0			1.0		1.0													(39.899999999999999, 139.90000000000001)	603	1810	9.0	25.0				4.0	1.0		6.6	JAPAN		NW. HONSHU ISLAND	39.9	139.9	85	1.0		1.0	0.0														57.0	2.0						3.0	1084.0	4.0		
170	535	613.0	1815.0	4.0	10.0		INDONESIA	WEST SULAWESI	SULAWESI I	-2.823	118.806	83.0	605.0					1.0	3.0												(-2.823, 118.806)	2151	1984	1.0	8.0	15.0	24.0	13.5	1.0	1.0	33.0	6.8	INDONESIA		SULAWESI	-2.823	118.806	83	0.1																	2.0	1.0			23.0	1.0						
171	9238	623.0	1819.0				USA TERRITORY	MP	ASUNCION IS, N MARIANA ISLANDS	19.67	145.4	81.0	0.0					1.0													(19.670000000000002, 145.40000000000001)	623	1819						2.0	6.0			USA TERRITORY	MP	ASUNCION ISLAND, N. MARIANA ISLANDS	19.67	145.4	81			1.0	1.0																									
