	I_D	TSEVENT_ID	YEAR	MONTH	DAY	DOUBTFUL	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DISTANCE_FROM_SOURCE	TRAVEL_TIME_HOURS	TRAVEL_TIME_MINUTES	WATER_HT	HORIZONTAL_INUNDATION	TYPE_MEASUREMENT_ID	PERIOD	FIRST_MOTION	DEATHS	DEATHS_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	COORDS
4552	2412	1722.0	1938.0	11.0	10.0		USA	CA	CRESCENT CITY, CA	41.7456	-124.184	88.0	2898.0	4.0	13.0	0.18		2.0	45.0												(41.745600000000003, -124.184)
4553	11336	1722.0	1938.0	11.0	10.0		CANADA	BC	TOFINO (CLAYOQUOT),BRITISH COLUMBIA	49.153	-125.913	88.0	2292.0	3.0	52.0	0.14		2.0	63.0	F											(49.152999999999999, -125.913)
4554	2405	1722.0	1938.0	11.0	10.0		USA	AK	UNALASKA, DUTCH HARBOR, AK	53.898	-166.515	87.0	552.0	1.0	42.0	0.1		2.0	60.0												(53.898000000000003, -166.51499999999999)
4555	2406	1722.0	1938.0	11.0	10.0		USA	AK	SEWARD, AK	60.119	-149.42700000000002	87.0	739.0	1.0	30.0	0.08		2.0	75.0												(60.119, -149.42700000000002)
4556	2408	1722.0	1938.0	11.0	10.0		USA	CA	SAN DIEGO, CA	32.715	-117.17399999999999	88.0	4057.0	6.0	52.0	0.1		2.0	55.0												(32.715000000000003, -117.17399999999999)
4557	2409	1722.0	1938.0	11.0	10.0		USA	CA	SANTA MONICA, CA	34.008	-118.5	88.0	3868.0	5.0	1.0	0.05		2.0	35.0												(34.008000000000003, -118.5)
4558	12099	1725.0	1938.0	11.0	13.0		JAPAN	MIYAGI	OSHIMA (SHIOGAMAKO)	38.3	141.0	85.0	151.0	1.0	20.0	0.03		2.0	10.0	R											(38.299999999999997, 141.0)
4559	12095	1725.0	1938.0	11.0	13.0		JAPAN	FUKUSHIMA	ONAHAMA	36.933	140.9	85.0	54.0	0.0	27.0	0.36		2.0	10.0	R											(36.933, 140.90000000000001)
4560	12096	1725.0	1938.0	11.0	13.0		JAPAN	MIYAGI	ISHINOMAKI	38.417	141.267	85.0	159.0	1.0	19.0	0.03		2.0	10.0	R											(38.417000000000002, 141.267)
4561	12094	1725.0	1938.0	11.0	13.0		JAPAN	CHIBA	CHOSHI	35.75	140.86700000000002	85.0	150.0	0.0	42.0	0.06		2.0	15.0	R											(35.75, 140.86700000000002)
4562	12097	1725.0	1938.0	11.0	13.0		JAPAN	MIYAGI	KESENNUMAGYOKO	38.9	141.6	85.0	212.0	0.0	59.0	0.11		2.0	12.0	R											(38.899999999999999, 141.59999999999999)
4563	12098	1725.0	1938.0	11.0	13.0		JAPAN	MIYAGI	ONAGAWA	38.433	141.45	85.0	159.0	0.0	29.0	0.21		2.0	11.0	R											(38.433, 141.44999999999999)
4564	12100	1725.0	1938.0	11.0	13.0		JAPAN	MIYAGI	TSUKIHAMA	38.567	141.45	85.0	174.0	0.0	41.0	0.07		2.0	11.0	R											(38.567, 141.44999999999999)
4565	12101	1727.0	1938.0	11.0	22.0		JAPAN	CHIBA	CHOSHI	35.75	140.86700000000002	85.0	153.0	0.0	44.0	0.03		2.0	15.0	F											(35.75, 140.86700000000002)
4566	12104	1727.0	1938.0	11.0	22.0		JAPAN	MIYAGI	OSHIMA (SHIOGAMAKO)	38.3	141.0	85.0	203.0	0.0	23.0	0.02		2.0	5.0	F											(38.299999999999997, 141.0)
4567	12103	1727.0	1938.0	11.0	22.0		JAPAN	MIYAGI	ONAGAWA	38.433	141.45	85.0	201.0	0.0	29.0	0.08		2.0	17.0	F											(38.433, 141.44999999999999)
4568	12102	1727.0	1938.0	11.0	22.0		JAPAN	FUKUSHIMA	ONAHAMA	36.933	140.9	85.0	110.0	0.0	38.0	0.14		2.0	6.0	F											(36.933, 140.90000000000001)
4569	12109	1728.0	1938.0	11.0	30.0		JAPAN	MIYAGI	KESENNUMAGYOKO	38.9	141.6	85.0	218.0	1.0	3.0	0.06		2.0	12.0	F											(38.899999999999999, 141.59999999999999)
4570	12107	1728.0	1938.0	11.0	30.0		JAPAN	HOKKAIDO	HAKODATEKO	41.783	140.733	85.0	547.0			0.08		2.0													(41.783000000000001, 140.733)
4571	12106	1728.0	1938.0	11.0	30.0		JAPAN	FUKUSHIMA	ONAHAMA	36.933	140.9	85.0	116.0	0.0	30.0	0.08		2.0	20.0	F											(36.933, 140.90000000000001)
4572	12105	1728.0	1938.0	11.0	30.0		JAPAN	AOMORI	HACHINOHE	40.533	141.533	85.0	397.0	3.0	35.0	0.1		2.0	18.0	R											(40.533000000000001, 141.53299999999999)
4573	12111	1728.0	1938.0	11.0	30.0		JAPAN	MIYAGI	TSUKIHAMA	38.567	141.45	85.0	186.0	2.0		0.06		2.0	12.0	F											(38.567, 141.44999999999999)
4574	12108	1728.0	1938.0	11.0	30.0		JAPAN	MIYAGI	ISHINOMAKI	38.417	141.267	85.0	178.0	2.0	30.0	0.05		2.0	18.0	F											(38.417000000000002, 141.267)
4575	2427	1728.0	1938.0	11.0	30.0		JAPAN	HOKKAIDO	HAKODATE	41.7187	140.7247	85.0	540.0	3.0		0.05		2.0	25.0	R											(41.718699999999998, 140.72470000000001)
4576	12110	1728.0	1938.0	11.0	30.0		JAPAN	MIYAGI	ONAGAWA	38.433	141.45	85.0	173.0	0.0	30.0	0.09		2.0	14.0	F											(38.433, 141.44999999999999)
4577	2425	1728.0	1938.0	11.0	30.0		JAPAN	CHIBA	CHOSHI	35.75	140.86700000000002	85.0	183.0	0.0	44.0			2.0		F											(35.75, 140.86700000000002)
4578	29928	1730.0	1939.0	1.0	30.0		SOLOMON ISLANDS		ARIGUA, BOUGAINVILLE ISLAND	-5.9333	155.35	82.0	128.0					1.0													(-5.9333, 155.34999999999999)
4579	2434	1730.0	1939.0	1.0	30.0		PAPUA NEW GUINEA		KOKOPO, NEW BRITAIN	-4.35	152.267	82.0	460.0					1.0													(-4.3499999999999996, 152.267)
4580	2433	1730.0	1939.0	1.0	30.0		SOLOMON ISLANDS		FAISI	-7.070833	155.86944	82.0	53.0					1.0													(-7.0708330000000004, 155.86944)
4581	12115	1731.0	1939.0	3.0	20.0		JAPAN	MIYAZAKI	HOSOSHIMA	32.433	131.667	85.0	35.0			0.04		2.0													(32.433, 131.667)
4582	12113	1731.0	1939.0	3.0	20.0		JAPAN	KOCHI	TOSA-SHIMIZU	32.7792	132.9589	85.0	105.0			0.06		2.0													(32.779200000000003, 132.9589)
4583	12114	1731.0	1939.0	3.0	20.0		JAPAN	MIYAZAKI	ABURATSU	31.583000000000002	131.417	85.0	97.0			0.08		2.0													(31.583000000000002, 131.417)
4584	12112	1731.0	1939.0	3.0	20.0		JAPAN	KOCHI	MUROTOMISAKI	33.266999999999996	134.167	85.0	229.0			0.4		2.0													(33.266999999999996, 134.167)
4585	2439	1733.0	1939.0	4.0	30.0		SOLOMON ISLANDS		BEAUFORT BAY, GUADALCANAL	-9.6287	159.667	82.0	60.0			10.5		1.0								1.0				1.0	(-9.6287000000000003, 159.667)
4586	2441	1733.0	1939.0	4.0	30.0		SOLOMON ISLANDS		RUSSELL ISLANDS	-9.05	159.2	82.0	28.0					1.0			12.0	1.0									(-9.0500000000000007, 159.19999999999999)
4587	25535	1733.0	1939.0	4.0	30.0		PAPUA NEW GUINEA		RABAUL, NEW BRITAIN	-4.22	152.18	82.0	962.0					1.0													(-4.2199999999999998, 152.18000000000001)
4588	2440	1733.0	1939.0	4.0	30.0		PAPUA NEW GUINEA		GASMATA, NEW BRITAIN	-6.27	150.3333	82.0	1037.0			1.5		1.0													(-6.2699999999999996, 150.33330000000001)
4589	28487	1734.0	1939.0	5.0	1.0		JAPAN	AOMORI	MASUKAWA	41.1833	140.4333	85.0	144.0					1.0													(41.183300000000003, 140.4333)
4590	12118	1734.0	1939.0	5.0	1.0		JAPAN	AOMORI	AJIGASAWA	40.783	140.217	85.0	97.0	0.0	32.0	0.03		2.0													(40.783000000000001, 140.21700000000001)
4591	28486	1734.0	1939.0	5.0	1.0		JAPAN	YAMAGATA	ONAGAWA	39.05	139.92	85.0	122.0					1.0													(39.049999999999997, 139.91999999999999)
4592	28485	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	TSUBAKI	40.35	140.026	85.0	53.0			1.2		1.0													(40.350000000000001, 140.02600000000001)
4593	28484	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	KAMO	39.9	139.736	85.0	30.0					1.0													(39.899999999999999, 139.73599999999999)
4594	28483	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	KANAGASAKI	39.568000000000005	140.215	85.0	85.0					1.0													(39.568000000000005, 140.215)
4595	28482	1734.0	1939.0	5.0	1.0		JAPAN	FUKUI	SHIODO	35.493	135.547	85.0	619.0					1.0													(35.493000000000002, 135.547)
4596	28481	1734.0	1939.0	5.0	1.0		JAPAN		SHIOHAMA			85.0						1.0													(nan, nan)
4597	28480	1734.0	1939.0	5.0	1.0		JAPAN	YAMAGATA	HAMANAKA	38.82	139.78	85.0	144.0					1.0													(38.82, 139.78)
4598	28479	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	HAMASHIOYA	39.954	139.722	85.0	25.0					1.0													(39.954000000000001, 139.72200000000001)
4599	28489	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	HADACHI	39.904	139.862	85.0	38.0					1.0													(39.904000000000003, 139.86199999999999)
4600	28488	1734.0	1939.0	5.0	1.0		JAPAN	NIIGATA	MINAMIHIRASAWA, SADO ISLAND	38.096	138.4343	85.0	241.0					1.0													(38.095999999999997, 138.43430000000001)
4601	28490	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	WAKIMOTO	39.903	139.9	85.0	41.0				30.0	1.0													(39.902999999999999, 139.90000000000001)
4602	28491	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	CAPE OPPA			85.0						1.0													(nan, nan)
4603	12119	1734.0	1939.0	5.0	1.0		JAPAN	YAMAGATA	SAKATA	38.917	139.817	85.0	134.0	0.0	40.0	0.05		2.0													(38.917000000000002, 139.81700000000001)
4604	12116	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	NOSHIROKO	40.217	140.0	85.0	44.0	0.0	32.0	0.03		2.0	60.0												(40.216999999999999, 140.0)
4605	28478	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	TOGA	39.95	139.722	85.0	25.0					1.0													(39.950000000000003, 139.72200000000001)
4606	28477	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	HATAKA	40.0	139.7	85.0	20.0					1.0													(40.0, 139.69999999999999)
4607	12117	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	TSUCHIZAKIKO	39.75	140.083	85.0	63.0	0.0	18.0	0.14		2.0													(39.75, 140.083)
4608	28471	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	HAMAMAGUCHI	39.96	139.82	85.0	31.0				13.0	1.0													(39.960000000000001, 139.81999999999999)
4609	28472	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	KITA'URA	39.968	139.78	85.0	28.0					1.0													(39.968000000000004, 139.78)
4610	28473	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	YUSHIRI	39.975	139.76	85.0	26.0			0.9		1.0													(39.975000000000001, 139.75999999999999)
4611	28474	1734.0	1939.0	5.0	1.0		JAPAN	AKITA	NISHIKUROSAWA	39.98	139.73	85.0	24.0					1.0													(39.979999999999997, 139.72999999999999)
4612	28475	1734.0	1939.0	5.0	1.0		JAPAN		USAWA			85.0						1.0													(nan, nan)
4613	28476	1734.0	1939.0	5.0	1.0		JAPAN	AOMORI	KOHAMA	40.83	140.72	85.0	131.0					1.0													(40.829999999999998, 140.72)
4614	25373	1735.0	1939.0	5.0	7.0		PHILIPPINES		VERDE ISLAND	13.53	121.0833	84.0	18.0					1.0													(13.529999999999999, 121.08329999999999)
4615	31939	4258.0	1939.0	5.0	8.0		AZORES (PORTUGAL)		PONTA DELGADA	37.735	-25.671999999999997	73.0	134.0			0.15		2.0													(37.734999999999999, -25.671999999999997)
4616	31940	4258.0	1939.0	5.0	8.0		AZORES (PORTUGAL)		ANGRA DO HEROISMO, TERCEIRA	38.66	-27.2333	73.0	304.0			0.2		2.0													(38.659999999999997, -27.2333)
4617	2446	1736.0	1939.0	6.0	22.0		GHANA		LABADI	5.55	-0.217	77.0	42.0					1.0													(5.5499999999999998, -0.217)
4618	15728	1736.0	1939.0	6.0	22.0		GHANA		TISHI			77.0						1.0													(nan, nan)
4619	6731	1737.0	1939.0	8.0	15.0		CUBA		CAYO FRANCES	21.9	-84.03299999999999	74.0	510.0					1.0													(21.899999999999999, -84.032999999999987)
4620	29544	1738.0	1939.0	12.0	21.0		INDONESIA	CENTRAL SULAWESI	MINAHASSA PENINSULA			83.0						1.0													(nan, nan)
4621	2447	1738.0	1939.0	12.0	21.0		INDONESIA	NORTH SULAWESI	LANGOAN	1.1578	123.8433	83.0	159.0					1.0								1.0					(1.1577999999999999, 123.8433)
4622	10854	2301.0	1939.0	12.0	26.0		GEORGIA		POTI	42.167	41.683	40.0	322.0					2.0		R											(42.167000000000002, 41.683)
4623	10852	2301.0	1939.0	12.0	26.0		RUSSIA		TUAPSE	44.1	39.067	40.0	483.0	0.0	50.0			2.0		R											(44.100000000000001, 39.067)
4624	10853	2301.0	1939.0	12.0	26.0		TURKEY		FATSA	41.028	37.501	40.0	222.0				20.0	2.0		F											(41.027999999999999, 37.500999999999998)
4625	10847	2301.0	1939.0	12.0	26.0		GEORGIA		BATUMI	41.638999999999996	41.637	40.0	273.0	0.0	0.0	0.07		2.0		F											(41.638999999999996, 41.637)
4626	10848	2301.0	1939.0	12.0	26.0		UKRAINE		NOVOROSSIYSK	46.117	32.633	40.0	901.0	1.0	13.0	0.53		2.0		R											(46.116999999999997, 32.633000000000003)
4627	10855	2301.0	1939.0	12.0	26.0		UKRAINE		FEODOSIYA	45.033	35.383	40.0	677.0	1.0	20.0			2.0		R											(45.033000000000001, 35.383000000000003)
4628	10850	2301.0	1939.0	12.0	26.0		UKRAINE		SEVASTOPOL	44.617	33.533	40.0	731.0	2.0	15.0	0.5		2.0		R											(44.616999999999997, 33.533000000000001)
4629	10849	2301.0	1939.0	12.0	26.0		UKRAINE		YALTA	44.5	34.167	40.0	687.0	0.0	53.0	0.27		2.0		R											(44.5, 34.167000000000002)
4630	10851	2301.0	1939.0	12.0	26.0		UKRAINE		KERCH	45.358000000000004	36.476	40.0	670.0	2.0	42.0			2.0		R											(45.358000000000004, 36.475999999999999)
4631	28156	1739.0	1940.0	5.0	24.0		PERU		HUARMEY	-11.1	-77.6	89.0	94.0					1.0													(-11.1, -77.599999999999994)
4632	28501	1741.0	1940.0	8.0	1.0		JAPAN	KYOTO	TAIZA (TANGO)	35.73	135.08	85.0	1014.0			1.5		1.0													(35.729999999999997, 135.08000000000001)
4633	12146	1741.0	1940.0	8.0	1.0		JAPAN	YAMAGATA	SAKATA	38.917	139.817	85.0	588.0	1.0	22.0	0.41		2.0	17.0												(38.917000000000002, 139.81700000000001)
4634	12132	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	MATSUMAEKOJIMA	41.367	139.817	85.0	316.0			1.5		2.0													(41.366999999999997, 139.81700000000001)
4635	12133	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	NISHISHIMAMAKI	42.75	140.13299999999998	85.0	169.0			1.5		1.0													(42.75, 140.13299999999998)
4636	12134	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	ONISHIKA	44.15	141.667	85.0	173.0			2.0	100.0	1.0													(44.149999999999999, 141.667)
4637	12137	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	OTARUKO	43.167	141.033	85.0	169.0			0.75		2.0	10.0												(43.167000000000002, 141.03299999999999)
4638	12139	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	SETANA	42.45	139.85	85.0	197.0			1.0		1.0								1.0					(42.450000000000003, 139.84999999999999)
4639	12140	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	SUTTSU	42.8	140.233	85.0	167.0			1.0		1.0													(42.799999999999997, 140.233)
4640	2462	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	MOTOMURA, RISHIRI ISLAND	45.11	141.25	85.0	172.0			1.7		1.0													(45.109999999999999, 141.25)
4641	2450	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	CAPE KUTSUGATA, RISHIRI ISLAND	45.1836	141.14	85.0	170.0			1.2		1.0													(45.183599999999998, 141.13999999999999)
4642	2465	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	ONIWAKI, RISHIRI ISLAND	45.13	141.3	85.0	176.0			2.5		1.0													(45.130000000000003, 141.30000000000001)
4643	2469	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	RATADOMARI, RISHIRI ISLAND	45.11	141.25	85.0	172.0			2.5		1.0													(45.109999999999999, 141.25)
4644	16509	1741.0	1940.0	8.0	1.0		RUSSIA	KHABAROVSK KRAI	GROSSEVICHI BAY	47.986000000000004	139.532	86.0	421.0			1.0		1.0								1.0					(47.986000000000004, 139.53200000000001)
4645	2472	1741.0	1940.0	8.0	1.0		JAPAN	NIIGATA	SADO ISLAND	38.0	138.5	85.0	695.0					1.0								1.0					(38.0, 138.5)
4646	2475	1741.0	1940.0	8.0	1.0		RUSSIA	SAKHALIN	WEST COAST SAKHALIN			86.0				2.0		1.0													(nan, nan)
4647	2480	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	YOBETSU	43.33	140.3839	85.0	120.0			2.3		1.0	10.0												(43.329999999999998, 140.38390000000001)
4648	2484	1741.0	1940.0	8.0	1.0		RUSSIA	SAKHALIN	NEVEL'SK, SAKHALIN	46.67	141.855	86.0	331.0	1.0	9.0	0.25		2.0	18.0							1.0	6.0	1.0			(46.670000000000002, 141.85499999999999)
4649	2489	1741.0	1940.0	8.0	1.0		RUSSIA	PRIMORSKY	VLADIVOSTOK	43.165	131.9	86.0	622.0					1.0													(43.164999999999999, 131.90000000000001)
4650	2451	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	CAPE MOTODOMARI, RISHIRI ISLAND	45.25	141.1833	85.0	177.0			1.8		1.0													(45.25, 141.1833)
4651	2459	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	KUTSUKATA, RISHIRI ISLAND	45.1836	141.14	85.0	170.0			2.0		1.0													(45.183599999999998, 141.13999999999999)
4652	2460	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	MASANDOMARI PORT, RISHIRI ISLAND	45.11	141.25	85.0	172.0			2.5		1.0													(45.109999999999999, 141.25)
4653	2463	1741.0	1940.0	8.0	1.0		NORTH KOREA		NAJIN (RASHIN)	42.2489	130.3003	84.0	776.0	1.0	32.0	0.13		2.0	8.0							1.0					(42.248899999999999, 130.30029999999999)
4654	2470	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	RISHIRI ISLAND	45.25	141.15	85.0	175.0			3.0		1.0								2.0					(45.25, 141.15000000000001)
4655	12126	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	IWANAIKO	42.983000000000004	140.5	85.0	158.0	0.0	12.0	0.83		2.0	20.0							1.0					(42.983000000000004, 140.5)
4656	12127	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	KAFUKA	45.3	141.05	85.0	173.0			1.5		1.0													(45.299999999999997, 141.05000000000001)
4657	12128	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	KAMOENAI	43.133	140.433	85.0	140.0			1.8		1.0													(43.133000000000003, 140.43299999999999)
4658	12129	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	KUTSUGATA, RISHIRI ISLAND	45.183	141.15	85.0	170.0			3.0		1.0													(45.183, 141.15000000000001)
4659	12120	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	BIKUNI	43.3	140.6	85.0	134.0			2.7		1.0													(43.299999999999997, 140.59999999999999)
4660	12122	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	HAKODATEKO	41.783	140.733	85.0	287.0			0.2		2.0													(41.783000000000001, 140.733)
4661	12123	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	HAMAMASU	43.583	141.38299999999998	85.0	166.0			1.5		1.0													(43.582999999999998, 141.38299999999998)
4662	12125	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	ISHIKARIKAKO	43.25	141.36700000000002	85.0	184.0	1.0	5.0	0.56		2.0	15.0												(43.25, 141.36700000000002)
4663	12121	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	HABOROKO	44.367	141.7	85.0	176.0			2.0		1.0								1.0					(44.366999999999997, 141.69999999999999)
4664	2476	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	SHOSAMBETSU	44.5336	141.7697	85.0	184.0	1.0	10.0	2.0		1.0													(44.5336, 141.7697)
4665	2478	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	TOMAMAE	44.3053	141.6544	85.0	172.0			3.0	100.0	1.0													(44.305300000000003, 141.65440000000001)
4666	12136	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	OTARU	43.95	141.63299999999998	85.0	173.0	0.0	42.0	1.5		1.0													(43.950000000000003, 141.63299999999998)
4667	19496	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	HITSUKASE			85.0						1.0								1.0					(nan, nan)
4668	28493	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	FURAOI	44.9833	141.8	85.0	202.0					1.0								1.0					(44.9833, 141.80000000000001)
4669	12138	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	RUMOI	43.95	141.65	85.0	174.0			2.0		1.0													(43.950000000000003, 141.65000000000001)
4670	28492	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	MOOI			85.0				1.2		1.0	20.0												(nan, nan)
4671	12130	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	MASHIKE	43.85	141.533	85.0	167.0			2.0		1.0													(43.850000000000001, 141.53299999999999)
4672	28496	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	SHIOYA	45.245	141.224	85.0	179.0			1.2		1.0													(45.244999999999997, 141.22399999999999)
4673	12142	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	YOICHI	43.2	140.783	85.0	152.0			1.5		1.0													(43.200000000000003, 140.78299999999999)
4674	28497	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	FURUHIRA	43.26	140.65	85.0	140.0			1.2		1.0													(43.259999999999998, 140.65000000000001)
4675	28498	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	BIKUNI	43.3	140.64	85.0	136.0			1.5		1.0													(43.299999999999997, 140.63999999999999)
4676	12124	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	IRIKA	43.367	140.483	85.0	122.0			2.7		1.0													(43.366999999999997, 140.483)
4677	28499	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	TOMARI	43.1	140.46	85.0	145.0			1.2		1.0													(43.100000000000001, 140.46000000000001)
4678	12145	1741.0	1940.0	8.0	1.0		JAPAN	OKUSHIRI IS, HOKKAIDO	INAHOMISAKI	42.25	139.567	85.0	217.0			1.0		1.0													(42.25, 139.56700000000001)
4679	12131	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	MATSUMAE	41.417	140.1	85.0	313.0			1.0		2.0													(41.417000000000002, 140.09999999999999)
4680	2485	1741.0	1940.0	8.0	1.0		RUSSIA	PRIMORSKY	OLGA	43.744444	135.284722	86.0	341.0					1.0													(43.744444000000001, 135.28472199999999)
4681	2448	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	BEUTANKEUSHI RIVER, RISHIRI ISLAND	45.11	141.25	85.0	172.0			2.8		1.0													(45.109999999999999, 141.25)
4682	2488	1741.0	1940.0	8.0	1.0		RUSSIA	PRIMORSKY	TETYUKHE	44.364	135.81799999999998	86.0	294.0	0.0	34.0	3.5		1.0								1.0					(44.363999999999997, 135.81799999999998)
4683	12135	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	OSHORO	43.2	140.86700000000002	85.0	156.0	0.0	32.0	0.22		2.0	23.0												(43.200000000000003, 140.86700000000002)
4684	2454	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	WAKKANAI	45.4	141.683	85.0	218.0					1.0								1.0					(45.399999999999999, 141.68299999999999)
4685	12141	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	TESHIO	44.883	141.75	85.0	194.0			2.0		1.0			10.0	1.0				1.0		1.0			(44.883000000000003, 141.75)
4686	28494	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	SENHOSHI	45.11	141.2167	85.0	169.0			0.6		1.0													(45.109999999999999, 141.2167)
4687	28495	1741.0	1940.0	8.0	1.0		JAPAN	HOKKAIDO	OSHIDOMARI	45.245	141.224	85.0	179.0			3.0		1.0													(45.244999999999997, 141.22399999999999)
4688	28502	1741.0	1940.0	8.0	1.0		JAPAN	SHIMANE	SAIGO	36.2	133.333	85.0	1032.0			1.4		1.0									47.0	1.0			(36.200000000000003, 133.333)
4689	28503	1741.0	1940.0	8.0	1.0		NORTH KOREA		NAJIN (RASHIN)	42.2489	130.3003	84.0	776.0			1.0		1.0								1.0					(42.248899999999999, 130.30029999999999)
4690	28500	1741.0	1940.0	8.0	1.0		JAPAN	ISHIKAWA	ISHIKAWA			85.0				0.4		1.0													(nan, nan)
4691	12143	1741.0	1940.0	8.0	1.0		JAPAN	ISHIKAWA	WAJIMA	37.4	136.9	85.0	787.0	1.0	42.0	0.46		2.0	21.0												(37.399999999999999, 136.90000000000001)
4692	12144	1741.0	1940.0	8.0	1.0		JAPAN	NIIGATA	NIIGATAKO (HIGASHI)	37.983000000000004	139.217	85.0	692.0	1.0	33.0	0.05		2.0	10.0												(37.983000000000004, 139.21700000000001)
4693	29921	1744.0	1941.0	1.0	14.0		PAPUA NEW GUINEA		BLANCHE BAY	-4.33	152.26	82.0	27.0					1.0													(-4.3300000000000001, 152.25999999999999)
4694	2491	1744.0	1941.0	1.0	14.0		PAPUA NEW GUINEA		RABAUL, NEW BRITAIN	-4.22	152.18	82.0	13.0	0.0	2.0	0.15		2.0													(-4.2199999999999998, 152.18000000000001)
4695	2490	1744.0	1941.0	1.0	14.0		PAPUA NEW GUINEA		BAININGS, NEW BRITAIN	-4.25	151.75	82.0	37.0					1.0													(-4.25, 151.75)
4696	2494	1745.0	1941.0	2.0	9.0	?	USA	CA	SAN FRANCISCO, CA	37.806999999999995	-122.465	88.0	384.0					7.0													(37.806999999999995, -122.465)
4697	2493	1745.0	1941.0	2.0	9.0	?	USA	CA	SAN DIEGO, CA	32.715	-117.17399999999999	88.0	1126.0					7.0													(32.715000000000003, -117.17399999999999)
4698	2492	1745.0	1941.0	2.0	9.0	?	USA	CA	PORT HUENEME, CA	34.15	-119.18	88.0	887.0					7.0													(34.149999999999999, -119.18000000000001)
4699	2495	1746.0	1941.0	6.0	26.0		INDIA		ANDAMAN SEA			60.0																			(nan, nan)
4700	6809	1746.0	1941.0	6.0	26.0		INDIA		EAST COAST OF INDIA			60.0																			(nan, nan)
4701	12153	1747.0	1941.0	11.0	18.0		JAPAN	MIYAZAKI	ORIUZAKO	31.8	131.467	85.0	64.0			1.0		1.0													(31.800000000000001, 131.46700000000001)
